ID,Class,Marker,Name,RuleSyntax,PossibilitySyntax,EnergyRisk,OperationsRisk,Description,PossibleCauses,PossibleSolutions
1,AirCurtain,"hvac,ac,equip",Failed Fan,{{Fan Commanded On}} = 1 AND {{Fan Proof Off}} = 1,{{Fan Commanded On}} = 1 AND {{Fan Proof Exists}} = 1,2,4,"The unit is commanded on but is not running. ","1. Mechanically failed fan
2. Fan locked off by controls
3. Alarm preventing the unit from starting","1. Repair fan
2. Release any locks/overrides
3. Clear alarms"
2,AirCurtain,"hvac,ac,equip",Failed Sensor - Zone Air Temp Cooling Sensor,{{Failed Sensor - Zone Air Cooling Temp}} = 1,{{Zone Air Cooling Temp Exists}} = 1,3,3,"The sensor is reading outside of the expected range. ",1. Sensor out of calibration,1. Recalibrate/replace sensor
3,AirCurtain,"hvac,ac,equip",Failed Sensor - Zone Air Temp Heating Sensor,{{Failed Sensor - Zone Air Heating Temp}} = 1,{{Zone Air Heating Temp Exists}} = 1,3,3,"The sensor is reading outside of the expected range. ",1. Sensor out of calibration,1. Recalibrate/replace sensor
4,AirCurtain,"hvac,ac,equip",Failed Sensor - Zone Air Temp Sensor,{{Failed Sensor - Zone Air Temp}} = 1,{{Zone Air Temp Exists}} = 1,3,3,"The sensor is reading outside of the expected range. ",1. Sensor out of calibration,1. Recalibrate/replace sensor
5,AirCurtain,"hvac,ac,equip",Fan in Hand,{{Fan Commanded Off}} = 1 AND {{Fan Proof On}} = 1,{{Fan Commanded Off}} = 1 AND {{Fan Proof Exists}} = 1,4,4,"The unit is not being commanded on, but is running. ","1. Unit overridden to run
2. Run sensor reading inaccurately","1. Release override
2. Recalibrate/replace run sensor"
6,AirCurtain,"hvac,ac,equip",Off Hours Operation,{{Unoccupied Hours}} = 1 AND {{Equipment Operating}} = 1,{{Unoccupied Hours}} = 1 AND {{Command OR Proof Exist}} = 1,4,4,"The unit is operating when the spaces it serves are not occupied. ","1. Unit manually overridden to run
2. Scheduling issue","1. Release override
2. Correct scheduling issue"
7,AirHandlingUnit,"hvac,ahu,equip",Cooling Without Operating,{{Equipment Not Operating}} = 1 AND {{Mech Cooling On}} = 1,{{Equipment Not Operating}} = 1 AND {{Mech Cooling Exists}} = 1,4,2,"The unit's cooling coil is open when the discharge fan is not operating. ","1. Valve is manually overridden 
2. Controls issue","1. Release override 
2. Repair controls issue"
8,AirHandlingUnit,"hvac,ahu,equip",Deficit Economizer Operation - Controls,{{Equipment Operating}} = 1 AND (({{Full Economizing Capacity}} = 1 AND {{Mixed Air Temp Too Hot}} = 1 AND {{Outside Air Damper At Minimum}} = 1) OR ({{Mixed Economizing Capacity}} = 1 AND {{Mixed Air Temp Above Outside Air Temp}} = 1 AND {{Outside Air Damper Below Maximum}} = 1)),{{Equipment Operating}} = 1 AND ({{Full Economizing Capacity}} = 1 OR {{Mixed Economizing Capacity}} = 1) AND {{Mixed Air Temp Exists}} = 1,4,2,"The unit is not taking full advantage of free cooling due to a controls issue. ","1. Failed sensor 
2. Uncalibrated sensor 
3. Controls issue 
4. Damper is mechanically compromised","1. Replace or recalibrate sensor 
2. Reprogram controls 
3. Repair damper"
9,AirHandlingUnit,"hvac,ahu,equip",Deficit Economizer Operation - Mechanical,{{Equipment Operating}} = 1 AND (({{Full Economizing Capacity}} = 1 AND {{Mixed Air Temp Too Hot}} = 1 AND {{Outside Air Damper At Maximum}} = 1) OR ({{Mixed Economizing Capacity}} = 1 AND {{Mixed Air Temp Above Outside Air Temp}} = 1 AND {{Outside Air Damper At Maximum}} = 1)),{{Equipment Operating}} = 1 AND ({{Full Economizing Capacity}} = 1 OR {{Mixed Economizing Capacity}} = 1) AND {{Mixed Air Temp Exists}} = 1,4,2,"The unit is not taking full advantage of free cooling due to a mechanical issue. ",1. Outside air damper or return air damper is mechanically compromised,1. Repair damper
10,AirHandlingUnit,"hvac,ahu,equip",Economizer Mixed Air Setpoint Coordination,{{Equipment Operating}} = 1 AND {{Air Temp Setpoint Coordination}} = 1,{{Equipment Operating}} = 1 AND {{Mixed Air Temp SP Exists}} = 1 AND {{Discharge Air Temp SP Exists}} = 1,4,2,The unit's mixed air temperature setpoint is higher than its discharge air temperature setpoint.,"1. Controls ",1. Reprogram controls
11,AirHandlingUnit,"hvac,ahu,equip",Excess Economizer Operation - Controls,{{Equipment Operating}} = 1 AND (({{Mixed Economizing Capacity}} = 1 AND {{Mixed Air Temp Too Cold}} = 1 AND {{Outside Air Damper Above Minimum}} = 1) OR ({{No Economizing Capacity}} = 1 AND {{Mixed Air Temp Above Return Air Temp}} = 1 AND {{Outside Air Damper Above Minimum}} = 1)),{{Equipment Operating}} = 1 AND ({{No Economizing Capacity}} = 1 OR {{Mixed Economizing Capacity}} = 1) AND {{Mixed Air Temp Exists}} = 1,4,2,"The unit is bringing in too much outside air due to a controls issue. ","1. Controls ",1. Reprogram controls
12,AirHandlingUnit,"hvac,ahu,equip",Excess Economizer Operation - Mechanical,{{Equipment Operating}} = 1 AND (({{Mixed Economizing Capacity}} = 1 AND {{Mixed Air Temp Too Cold}} = 1 AND {{Outside Air Damper At Minimum}} = 1) OR ({{No Economizing Capacity}} = 1 AND {{Mixed Air Temp Above Return Air Temp}} = 1 AND {{Outside Air Damper At Minimum}} = 1)),{{Equipment Operating}} = 1 AND ({{No Economizing Capacity}} = 1 OR {{Mixed Economizing Capacity}} = 1) AND {{Mixed Air Temp Exists}} = 1,4,2,"The unit is bringing in too much outside air due to a mechanical issue. ",1. Mechanically compromised damper or mismatched controls,1. Repair damper or reprogram controls
13,AirHandlingUnit,"hvac,ahu,equip",Failed Closed Chilled Water Valve,{{Equipment Operating}} = 1  AND {{Cooling Commanded On}} = 1 AND {{Cooling Proof Off}} = 1,{{Equipment Operating}} = 1 AND {{Cooling Commanded On}} = 1 AND {{Cooling Proof Exists}} = 1,3,4,"The unit is on and its chilled water valve is commanded open, but the valve sensor or temperatures across the valve indicate no cooling is being done. ","1. Mechanically failed valve actuator
2. Fouled coils 
3. Water to coil not being cooled enough
4. Inaccurate valve or temperature sensors","1. Repair/replace valve actuator
2. Clean coils 
3. Resolve water cooling issues
4. Recalibrate/replace sensor(s)"
14,AirHandlingUnit,"hvac,ahu,equip",Failed Closed Heating Water Valve,{{Equipment Operating}} = 1 AND {{Mech Heating On}} = 1 AND {{Discharge Air Temp Too Hot}} = 1 AND {{Heating Proof On}} = 1,{{Equipment Operating}} = 1 AND {{Mech Heating Exists}} = 1 AND {{Discharge Air Temp Exists}} = 1 AND {{Discharge Air Temp SP Exists}} = 1 AND {{Mixed Air Temp Exists}} = 1,3,4,"The unit is on and its heating water valve is commanded open, but the valve sensor or temperatures across the valve indicate no heating is being done. ","1. Mechanically failed valve actuator
2. Fouled coils 
3. Water to coil not being heated enough
4. Inaccurate valve or temperature sensors","1. Repair/replace valve actuator
2. Clean coils 
3. Resolve water heating issues
4. Recalibrate/replace sensor(s)"
15,AirHandlingUnit,"hvac,ahu,equip",Failed Closed Outside Air Damper,{{Equipment Operating}} = 1 AND {{Outside Air Damper Above Minimum}} = 1 AND {{Economizing Proof Off}} = 1,{{Equipment Operating}} = 1 AND {{Outside Air Damper Exists}} = 1 AND {{Mixed Air Temp Exists}} = 1 AND {{Outside Air Temp Exists}} = 1 AND {{Return Air Temp Exists}} = 1,3,3,"The unit is on and the outside air damper is commanded open, but the damper sensor or temperature sensors indicate the unit is not bringing in outside air. ","1. Mechanically failed damper actuator
2. Inaccurate damper or temperature sensors","1. Repair/replace damper actuator
2. Recalibrate/replace damper and temperature sensors"
16,AirHandlingUnit,"hvac,ahu,equip",Failed Fan,{{Discharge Fan Commanded On}} = 1 AND {{Discharge Fan Proof Off}} = 1,{{Discharge Fan Commanded On}} = 1 AND {{Discharge Fan Proof Exists}} = 1,2,4,"The unit is commanded on but is not running. ","1. Mechanically failed fan
2. Fan locked off by controls
3. Alarm preventing the unit from starting","1. Repair fan
2. Release any locks/overrides
3. Clear alarms"
17,AirHandlingUnit,"hvac,ahu,equip",Failed Open Chilled Water Valve,{{Equipment Operating}} = 1 AND {{Cooling Commanded Off}} = 1 AND {{Cooling Proof On}} = 1,{{Equipment Operating}} = 1 AND {{Cooling Commanded Off}} = 1 AND {{Cooling Proof Exists}} = 1,4,3,"The unit is on and its chilled water valve is commanded closed, but the valve sensor or temperatures across the valve indicate that cooling is being done. ","1. Mechanically failed valve actuator
2. Inaccurate valve or temperature sensors","1. Repair/replace valve actuator
2. Recalibrate/replace sensor(s)"
18,AirHandlingUnit,"hvac,ahu,equip",Failed Open Heating Water Valve,{{Equipment Operating}} = 1 AND {{Mech Heating Off}} = 1 AND ({{Discharge Air Temp Too Hot}} = 1 OR {{Heating Proof On}} = 1),{{Equipment Operating}} = 1 AND {{Mech Heating Exists}} = 1 AND {{Discharge Air Temp Exists}} = 1 AND {{Discharge Air Temp SP Exists}} = 1 AND {{Mixed Air Temp Exists}} = 1,4,3,"The unit is on and its heating water valve is commanded closed, but the valve sensor or temperatures across the valve indicate that heating is being done. ","1. Mechanically failed valve actuator
2. Inaccurate valve or temperature sensors","1. Repair/replace valve actuator
2. Recalibrate/replace sensor(s)"
19,AirHandlingUnit,"hvac,ahu,equip",Failed Open Outside Air Damper,{{Equipment Operating}} = 1 AND {{Outside Air Damper At Minimum}} = 1 AND {{Economizing Proof On}} = 1,{{Equipment Operating}} = 1 AND {{Outside Air Damper Exists}} = 1 AND {{Mixed Air Temp Exists}} = 1 AND {{Outside Air Temp Exists}} = 1 AND {{Return Air Temp Exists}} = 1,4,2,"The unit is on and the outside air damper is commanded closed, but the damper sensor or temperature sensors indicate the unit is bringing in outside air. ","1. Mechanically failed damper actuator
2. Inaccurate damper or temperature sensors","1. Repair/replace damper actuator
2. Recalibrate/replace damper and temperature sensors"
20,AirHandlingUnit,"hvac,ahu,equip",Failed Sensor - Discharge Air Static Pressure,{{Failed Sensor - Discharge Air Pressure}} = 1,{{Discharge Air Pressure Exists}} = 1,2,3,"The sensor is reading outside of the expected range. ",1. Sensor out of calibration,1. Recalibrate/replace sensor
21,AirHandlingUnit,"hvac,ahu,equip",Failed Sensor - Discharge Air Temperature,{{Failed Sensor - Discharge Air Temp}} = 1,{{Discharge Air Temp Exists}} = 1,3,4,"The sensor is reading outside of the expected range. ",1. Sensor out of calibration,1. Recalibrate/replace sensor
22,AirHandlingUnit,"hvac,ahu,equip",Failed Sensor - Mixed Air Temperature,{{Failed Sensor - Mixed Air Temp}} = 1,{{Mixed Air Temp Exists}} = 1,4,2,"The sensor is reading outside of the expected range. ",1. Sensor out of calibration,1. Recalibrate/replace sensor
23,AirHandlingUnit,"hvac,ahu,equip",Failed Sensor - Outside Air Temperature,{{Failed Sensor - Outside Air Temp}} = 1,{{Outside Air Temp Exists}} = 1,4,2,"The sensor is reading outside of the expected range. ",1. Sensor out of calibration,1. Recalibrate/replace sensor
24,AirHandlingUnit,"hvac,ahu,equip",Failed Sensor - Return Air Temperature,{{Failed Sensor - Return Air Temp}} = 1,{{Return Air Temp Exists}} = 1,3,2,"The sensor is reading outside of the expected range. ",1. Sensor out of calibration,1. Recalibrate/replace sensor
25,AirHandlingUnit,"hvac,ahu,equip",Failed Sensor - Zone Static Pressure,{{Failed Sensor - Zone Static Pressure}} = 1,{{Zone Air Pressure Exists}} = 1,2,3,"The sensor is reading outside of the expected range. ",1. Sensor out of calibration,1. Recalibrate/replace sensor
26,AirHandlingUnit,"hvac,ahu,equip",Fan in Hand,{{Discharge Fan Commanded Off}} = 1 AND {{Discharge Fan Proof On}} = 1,{{Discharge Fan Commanded Off}} = 1 AND {{Discharge Fan Proof Exists}} = 1,4,4,"The unit is not being commanded on, but is running. ","1. Unit overridden to run
2. Run sensor reading inaccurately","1. Release override
2. Recalibrate/replace run sensor"
27,AirHandlingUnit,"hvac,ahu,equip",Heating Without Operating,{{Equipment Not Operating}} = 1 AND {{Mech Heating On}} = 1,{{Equipment Not Operating}} = 1 AND {{Mech Heating Exists}} = 1,4,2,"The unit's heating coil is open when the discharge fan is not operating. ","1. Valve is manually overridden 
2. Controls issue","1. Release override 
2. Repair controls issue"
28,AirHandlingUnit,"hvac,ahu,equip",Manual Override - Discharge Fan Speed,{{Equipment Operating}} = 1 AND (({{Under Pressurized Discharge}} = 1 AND {{Discharge Fan Speed Below Maximum}} = 1) OR ({{Over Pressurized Discharge}} = 1 AND {{Discharge Fan Speed Above Minimum}} = 1)),{{Equipment Operating}} = 1 AND {{Discharge Air Pressure Exists}} = 1 AND {{Discharge Air Pressure SP Exists}} = 1 AND {{Discharge Fan Speed Exists}} = 1,4,4,"The unit is operating at low fan speed when the discharge pressure is under setpoint or operating at high fan speed when the discharge pressure is over setpoint. ","1. Discharge fan speed manually overridden
2. Poor fan speed control","1. Release override
2. Tune fan speed PID loop"
29,AirHandlingUnit,"hvac,ahu,equip",Negative Building Static Pressure,{{Negative Zone Air Pressure}} = 1,{{Zone Air Pressure Exists}} = 1,4,4,"The building static pressure is negative. ","1. More air is being exhausted from space than is being introduced to space
2. Inaccurate building static pressure sensor","1. Check for exhaust or discharge fan overrides
2. Check for units not controlling to flow/pressure setpoints or controlling to inappropriate setpoints
3. Recalibrate/replace building static pressure sensor"
30,AirHandlingUnit,"hvac,ahu,equip",Off Hours Operation,{{Unoccupied Hours}} = 1 AND {{Equipment Operating}} = 1,{{Unoccupied Hours}} = 1 AND {{Discharge Fan Command OR Proof Exists}} = 1,4,4,"The unit is operating when the spaces it serves are not occupied. ","1. Unit manually overridden to run
2. Scheduling issue","1. Release override
2. Correct scheduling issue"
31,AirHandlingUnit,"hvac,ahu,equip",Over Cooling,{{Equipment Operating}} = 1 AND {{Discharge Air Temp Too Cold}} = 1 AND {{Mech Cooling On}} = 1,{{Equipment Operating}} = 1 AND {{Discharge Air Temp Exists}} = 1 AND {{Discharge Air Temp SP Exists}} = 1 AND {{Mech Cooling Exists}} = 1,4,3,"The unit is running and cooling when the discharge air temperature is below setpoint. ","1. Cooling coil valve manually overridden
2. Poor cooling coil valve control","1. Release override
2. Tune cooling coil PID loop"
32,AirHandlingUnit,"hvac,ahu,equip",Over Heating,{{Equipment Operating}} = 1 AND {{Discharge Air Temp Too Hot}} = 1 AND {{Mech Heating On}} = 1,{{Equipment Operating}} = 1 AND {{Discharge Air Temp Exists}} = 1 AND {{Discharge Air Temp SP Exists}} = 1 AND {{Mech Heating Exists}} = 1,4,3,"The unit is running and heating when the discharge air temperature is over setpoint. ","1. Heating coil valve manually overridden
2. Poor heating coil valve control","1. Release override
2. Tune heating coil PID loop"
33,AirHandlingUnit,"hvac,ahu,equip",Over Pressurization,{{Equipment Operating}} = 1 AND {{Over Pressurized Discharge}} = 1 AND {{Discharge Fan Speed Above Minimum}} = 1,{{Equipment Operating}} = 1 AND {{Discharge Air Pressure Exists}} = 1 AND {{Discharge Air Pressure SP Exists}} = 1 AND {{Discharge Fan Speed Exists}} = 1,4,3,"The unit is running above minimum fan speed when the discharge air pressure is higher than setpoint. ","1. Fan speed manually overridden
2. Poor fan speed control","1. Release override
2. Tune fan speed PID loop"
34,AirHandlingUnit,"hvac,ahu,equip",Simultaneous Heating and Cooling,{{Equipment Operating}} = 1  AND {{Mech Cooling On}} = 1 AND {{Mech Heating On}} = 1,{{Equipment Operating}} = 1 AND {{Mech Cooling Exists}} = 1 AND {{Mech Heating Exists}} = 1,4,2,"The unit is mechanically cooling and heating at the same time. ","1. Manually overridden cooling or heating coil
2. Controls issue","1. Release override(s)
2. Correct controls issue"
35,AirHandlingUnit,"hvac,ahu,equip",Under Cooling,{{Equipment Operating}} = 1 AND {{Discharge Air Temp Too Hot}} = 1 AND {{Mech Cooling On}} = 1,{{Equipment Operating}} = 1 AND {{Discharge Air Temp Exists}} = 1 AND {{Discharge Air Temp SP Exists}} = 1 AND {{Mech Cooling Exists}} = 1,3,4,"The unit is running and cooling, but the discharge air temperature is above setpoint. ","1. Cooling coil valve manually overridden
2. Poor cooling coil valve control
3. Inaccurate discharge air temperature sensor
4. Discharge air temperature setpoint too low
5. Cooling coil fouled
6. Unit is undersized for load","1. Release override
2. Tune cooling coil PID loop
3. Recalibrate/replace discharge air temperature sensor
4. Adjust discharge air temperature setpoint
5. Clean cooling coil"
36,AirHandlingUnit,"hvac,ahu,equip",Under Pressurization,{{Equipment Operating}} = 1 AND {{Under Pressurized Discharge}} = 1 AND {{Discharge Fan Speed Below Maximum}} = 1,{{Equipment Operating}} = 1 AND {{Discharge Air Pressure Exists}} = 1 AND {{Discharge Air Pressure SP Exists}} = 1 AND {{Discharge Fan Speed Exists}} = 1,3,4,"The unit is running below maximum fan speed when the discharge air pressure is lower than setpoint. ","1. Fan speed manually overridden
2. Poor fan speed control","1. Release override
2. Tune fan speed PID loop"
37,Boiler,"hvac,blr,equip",Failed Sensor - Leaving Water Temperature,{{Failed Sensor - Leaving Water Temp}} = 1,{{Leaving Water Temp Exists}} = 1,4,3,"The sensor is reading outside of the expected range. ",1. Sensor out of calibration,1. Recalibrate/replace sensor
38,Boiler,"hvac,blr,equip",High Leaving Water Temperature,{{Leaving Water Temperature Too Hot}} = 1,{{Leaving Water Temp Exists}} = 1,3,2,"The unit's leaving water temperature is higher than desired. ","1. Unit not controlling to setpoint
2. Setpoint set too high","1. Investigate unit control issue
2. Set leaving water temperature setpoint to a lower value"
39,ChilledWaterPlant,"hvac,chilledWaterPlant,equip",Bypass Valve Failed Closed,{{Bypass Valve Commanded Open}} = 1 AND {{Bypass Valve Proof Closed}} = 1,{{Bypass Valve Commanded Open}} = 1 AND {{Bypass Valve Proof Exists}} = 1 AND {{Bypass Flow Exists}} = 1,3,2,"The bypass valve is commanded open but returning a closed signal and no water is flowing though the bypass line. ","1. Valve actuator is mechanically compromised 
2. Inaccurate sensor","1. Replace the valve actuator 
2. Replace sensor 
3. Recalibrate sensor"
40,ChilledWaterPlant,"hvac,chilledWaterPlant,equip",Bypass Valve Failed Open,{{Bypass Valve Commanded Closed}} = 1 AND {{Bypass Valve Proof Open}} = 1,{{Bypass Valve Commanded Closed}} = 1 AND {{Bypass Valve Proof Exists}} = 1 AND {{Bypass Flow Exists}} = 1,3,2,"The bypass valve is commanded closed but returning a open signal and water is flowing through the bypass line. ","1. Valve actuator is mechanically compromised 
2. Inaccurate sensor","1. Replace the valve actuator 
2. Replace sensor 
3. Recalibrate sensor"
41,ChilledWaterPlant,"hvac,chilledWaterPlant,equip",Failed Sensor - Bypass Flow,{{Failed Sensor - Bypass Flow}} = 1,{{Bypass Flow Exists}} = 1,2,2,"The sensor is reading outside of the expected range. ",1. Sensor out of calibration,1. Recalibrate/replace sensor
42,ChilledWaterPlant,"hvac,chilledWaterPlant,equip",Failed Sensor - Leaving Water Temperature,{{Failed Sensor - Chilled Water Leaving Temp}} = 1,{{Chilled Water Leaving Temp Exists}} = 1,4,2,"The sensor is reading outside of the expected range. ",1. Sensor out of calibration,1. Recalibrate/replace sensor
43,ChilledWaterPlant,"hvac,chilledWaterPlant,equip",Failed Sensor - Return Water Temperature,{{Failed Sensor - Chilled Water Entering Temp}} = 1,{{Chilled Water Entering Temp Exists}} = 1,4,2,"The sensor is reading outside of the expected range. ",1. Sensor out of calibration,1. Recalibrate/replace sensor
44,ChilledWaterPlant,"hvac,chilledWaterPlant,equip",High Chilled Water Differential Pressure Setpoint,{{Chilled Water DP SP Too High}} = 1,{{Chilled Water DP Exists}} = 1,4,2,The system chilled water differential pressure setpoint is higher than desired.,1. Control logic,1. Set differential pressure setpoint to a lower value
45,ChilledWaterPlant,"hvac,chilledWaterPlant,equip",Low Chilled Water System Differential Temperature,{{Equipment Operating}} = 1 AND {{Chilled Water DT Too Low}} = 1,{{Equipment Operating}} = 1 AND {{Chilled Water Entering Temp Exists}} = 1 AND {{Chilled Water Leaving Temp Exists}} = 1,3,2,"The chilled water system is operating, but the chilled water differential temperature is low. ","1. High leaving water temperature
2. Air-side setpoints too low
3. Air-side cooling coils fouled
4. Inaccurate chilled water temperature sensors","1. Set chilled water setpoint at design
2. Reset air-side setpoints up to design
3. Clean cooling coils
4. Recalibrate/replace chilled water temperature sensors"
46,ChilledWaterPlant,"hvac,chilledWaterPlant,equip",Low Chilled Water Temperature Setpoint,{{Chilled Water Temp SP Too Cold}} = 1,{{Chilled Water Leaving Temp SP Exists}} = 1,4,3,The chilled water leaving temperature setpoint is too low.,"1. Setpoint overridden
2. Improper setpoint reset","1. Release override
2. Correct setpoint reset"
