AssetRegisterId,CoordX,CoordY
914148,535.2734308,-176.1356285
914147,535.2753489,-167.3020833
914146,541.8392686,-142.9130787
914145,380.4895833,-205.9756094
914144,538.5242466,-165.6354167
914143,541.7734375,-176.1354167
914142,541.7742466,-165.6354167
914141,538.5234308,-176.1356285
914140,541.9226019,-147.1620178
914139,528.5892686,-147.1620178
914138,528.1076073,-167.21875
914137,532.1919836,-167.46875
914128,540.3392686,-150.4120178
917579,371.9570353,-212.8716779
921464,379.7896603,-195.1617444
921463,379.5795357,-201.4476642
921462,412.9232202,-139.6060281
921461,530.7178647,-181.0347591
921460,384.8879788,-199.7108779
921459,550.8072917,-178.4791667
921458,539.1616745,-135.7701758
921457,472.365,-172.8263564
921550,472.3541667,-155.2135417
921549,464.5833333,-155.6770833
914155,447.6261659,-177.431723
914154,383.5989733,-166.1116623
915543,464.2013427,-141.4265346
915542,471.034676,-139.3015346
915541,423.0377113,-182.1631728
915540,430.5466932,-181.9109219
915539,430.5408184,-182.0150885
915538,539.7137473,-224.6008565
915537,506.6350567,-224.6013336
915536,531.786664,-241.3724815
915535,512.7288067,-241.3707994
915534,490.6529528,-241.8691295
915533,477.1993399,-242.0245536
914709,423.0499791,-140.671474
914708,384.2161117,-238.6243425
914707,411.7347262,-125.7285091
914706,420.9793765,-121.8951758
914705,470.2975943,-131.3951758
914704,506.2996273,-124.1035091
914703,536.7939691,-109.3951731
914702,465.7012443,-140.6459641
914701,434.8456942,-151.2992132
914700,439.8039771,-143.2351418
914699,426.848291,-140.6825955
914698,407.7360883,-140.647997
914697,406.0968397,-140.6514641
914696,401.8428656,-140.6840991
914695,349.8517184,-140.6356899
914694,360.8037218,-156.2441859
914692,360.8018953,-178.4690029
914691,360.8116987,-183.1362985
914690,375.5528102,-171.6345736
914689,375.5528102,-177.4678023
914688,420.2196605,-186.2366144
914687,444.9762535,-195.2162706
914686,538.4976269,-217.2314616
914685,538.4960888,-220.7285091
914684,490.4132707,-224.8118425
914683,490.9167542,-222.6846684
914468,455.6883485,-105.5543576
914467,356.2432172,-105.4195106
914466,376.5319032,-243.7005649
914465,353.6561271,-191.8359873
914461,482.4042396,-110.1958488
914460,477.9244218,-105.2773818
914459,470.1064763,-105.3547377
914458,464.0906034,-105.3660712
914457,459.2290081,-105.3945579
914456,432.4360926,-105.381942
914455,426.1764485,-105.3886635
914454,421.4025595,-105.373098
914453,411.7496497,-105.4222176
914452,406.9654484,-105.4309441
914451,401.8510176,-105.3989034
914450,392.4376952,-105.3945579
914449,381.8065379,-105.3795126
914448,376.9418116,-105.7651898
914447,372.0413932,-105.3765932
914446,366.7449863,-105.4065226
914445,357.0697167,-105.4801369
914444,457.708287,-243.35044
929119,376.9217587,-116.9321615
929118,357.0897504,-110.4340862
929117,392.4223946,-110.9855443
929116,459.2405718,-110.9038277
929115,457.7133822,-231.2516858
929114,406.9923653,-110.7690358
929113,381.798405,-116.4934101
929112,377.073515,-228.2724637
929111,384.2133311,-202.0122631
929110,477.1994473,-232.6964286
929109,426.1624616,-112.5937363
929108,411.7419617,-116.7172031
929105,464.0833526,-117.8098469
929104,401.84503,-118.1869738
929103,470.1167474,-118.0436719
929102,366.7251671,-115.0147488
929101,432.2359173,-110.9680927
929100,421.3890015,-115.3245508
929099,362.1905068,-116.7882737
929098,372.0405565,-119.6186429
916064,421.3890015,-108.0687603
916063,470.1115715,-108.9238802
916062,401.84503,-108.8274677
916061,464.0833526,-108.9057959
916060,411.7438302,-125.7285091
916059,411.7438302,-108.8362959
916052,477.1951318,-238.8474702
916049,519.1361436,-228.1868425
916047,506.3028102,-116.0004412
916046,487.4036677,-109.9231469
916034,381.798405,-124.1117579
916033,381.798405,-108.8274677
916032,457.7133822,-239.9548108
916031,376.9232814,-108.8367441
916030,372.0480838,-109.3112553
916029,376.5005984,-237.7910091
916028,362.1905068,-107.738851
916018,360.0632269,-197.783904
916017,371.3339317,-237.9452296
916016,360.0736436,-218.6370453
929329,415.8517787,-117.9206152
929328,485.9852852,-122.0222991
929327,523.3899471,-229.7084551
929326,456.0426817,-121.5820307
929322,415.8517787,-116.5872819
929320,390.8780227,-124.2486973
929319,385.7275978,-124.2486973
929309,368.9958464,-123.0221425
929308,415.8517787,-119.2539486
929297,368.9958464,-124.355883
929292,481.8678838,-233.8750352
916162,472.2289905,-147.2708333
916161,547.7707452,-162.6875881
916160,547.0209214,-136.0207452
916159,549.6042548,-188.6875881
916251,506.1767233,-234.5383252
916250,538.7109285,-234.5383252
916249,490.6364312,-236.7466585
916259,427.0039308,-125.1668069
916258,544.4955098,-118.9165732
916277,537.4023202,-120.3193427
916276,430.2500582,-123.582031
916298,441.2508009,-110.4163521
916297,441.2508009,-117.4163521
916296,523.3690745,-110.416732
916295,523.3690745,-117.416732
934343,403.2715602,-237.6947276
934342,438.8340602,-237.6947276
916372,544.5016074,-123.9311738
916366,430.2423885,-126.1294945
916480,519.0852128,-237.1683505
916479,526.9147872,-237.1649828
916478,475.8036167,-240.3395967
916477,437.7924537,-228.6676495
916476,436.3117129,-226.8350172
916475,404.3742129,-228.4990172
916474,405.8549537,-226.8316495
916473,437.7924537,-224.0009828
916472,436.4750878,-222.1683505
916471,404.3742129,-223.8323505
916470,405.8549537,-222.1649828
916438,441.0287889,-110.2806486
916437,441.0287889,-117.2806486
916436,523.8564194,-110.5523323
916435,523.8564194,-117.5523323
916556,380.4999866,-240.6644083
916555,364.9999866,-223.9144083
916554,362.2176567,-144.3836284
916553,484.2495966,-243.0461436
916552,392.2037682,-217.9161752
916551,450.5462318,-227.8336486
916550,533.5397739,-226.4400696
916549,545.7809347,-244.7128984
916548,521.2600133,-131.8377222
916547,490.7504034,-112.3703468
916546,416.8337367,-110.5371016
916545,385.8337367,-110.5371016
916544,359.4669617,-139.2823433
916856,523.9143429,-132.6919261
916855,522.5806025,-132.6919261
916854,452.069444,-129.9902106
916853,453.4027774,-129.9902106